Player,Club,Minutes played,All Goals,All Goals/Assists,Non-penalty Goals,Total shots,Non-Penalty Goal Conversion %,Penalty Goal Conversion %,Penalties taken,Is Local
Kodai Tanaka,Balestier Khalsa,2880,25,33,19,131,14.50,75.00,8,N
Seia Kunori,Tampines Rovers,2880,17,25,17,120,14.17,0.00,0,N
Tomoyuki Doi,Geylang International,2700,42,48,37,171,21.64,100.00,5,N
Ryoya Taniguchi,Geylang International,2700,12,22,12,102,11.76,0.00,0,N
Itsuki Enomoto,Tampines Rovers,2700,19,23,16,94,17.02,100.00,3,N
Shingo Nakano,Albirex Niigata (S),2610,24,25,22,92,23.91,66.67,3,N
Dejan Račić,Hougang United,2520,24,30,21,71,29.58,75.00,4,N
Shuhei Hoshino,Albirex Niigata (S),2250,7,10,7,57,12.28,0.00,0,N
Lennart Thy,Lion City Sailors,2135,28,31,28,93,30.11,0.00,0,N
Shawal Anuar,Lion City Sailors,2134,18,28,18,66,27.27,0.00,0,Y
Boris Kopitović,Tampines Rovers,1782,16,22,11,62,17.74,83.33,6,N
Salif Cisse,Tanjong Pagar United,1608,10,13,10,55,18.18,0.00,1,N
Amir Syafiz,Young Lions,1556,6,7,6,37,16.22,0.00,0,Y
Syahadat Masnawi,Tanjong Pagar United,1498,3,3,3,40,7.50,0.00,0,Y
Dāvis Ikaunieks,Brunei DPMM,1260,14,14,10,46,21.74,100.00,4,N
Julio Cruz,Brunei DPMM,1260,6,10,4,30,13.33,100.00,2,N
Abdul Rasaq,Lion City Sailors,701,2,4,1,14,7.14,100.00,1,Y
Zikos Chua,Geylang International,562,4,4,4,17,23.53,0.00,0,Y
Jonan Tan,Young Lions,459,0,1,0,6,0.00,0.00,0,Y
Haiqal Pashia,Lion City Sailors,446,1,2,1,8,12.50,0.00,0,Y
Amiruldin Asraf,Balestier Khalsa,435,2,2,2,13,15.38,0.00,0,Y
Petar Banović,Hougang United,386,1,2,1,6,16.67,0.00,0,N
Hariz Danial Khallidden,Brunei DPMM,331,0,0,0,1,0.00,0.00,0,N
Anaqi Ismit,Tanjong Pagar United,327,1,1,1,6,16.67,0.00,0,Y
Zheng Wu,Young Lions,226,0,0,0,0,0.00,0.00,0,Y
Sora Tanaka,Geylang International,213,1,2,1,4,25.00,0.00,0,N
Rasul Ramli,Young Lions,203,0,0,0,3,0.00,0.00,0,Y
Ihsan Hadi,Tanjong Pagar United,173,0,0,0,0,0.00,0.00,0,Y
Louka Tan-Vaissiere,Hougang United,170,0,0,0,5,0.00,0.00,0,Y
Syukri Bashir,Albirex Niigata (S),154,0,0,0,3,0.00,0.00,0,Y
Reycredo Beremanda,Balestier Khalsa,144,1,1,1,3,33.33,0.00,0,N
Izafil Yusof,Tanjong Pagar United,135,1,1,1,2,50.00,0.00,0,Y
Prince Rio Riafe,Geylang International,133,0,0,0,1,0.00,0.00,0,Y
Zamani Zamri,Hougang United,110,0,1,0,2,0.00,0.00,0,Y
Faturrahman Embran,Brunei DPMM,84,0,0,0,1,0.00,0.00,0,N
Hud Ismail,Geylang International,83,0,0,0,0,0.00,0.00,0,Y
